"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 07 08:04:38 GMT 2024","Sun Jan 07 08:04:41 GMT 2024","2688","test","test_google_maps_api","TestCreatePlace","","","Updating new location by PUT request","Updating new location"
"passed","Sun Jan 07 08:04:36 GMT 2024","Sun Jan 07 08:04:37 GMT 2024","1243","test","test_google_maps_api","TestCreatePlace","","","Create new location by POST request","Creating new location"
"passed","Sun Jan 07 08:04:41 GMT 2024","Sun Jan 07 08:04:44 GMT 2024","2684","test","test_google_maps_api","TestCreatePlace","","","Deleting new location by DELETE request","Deleting new location"
